Кадастровый номер,"Площадь, м²",Категория земли,Статус,Адрес,Собственность,ВРИ,Тип ВРИ,Записей о правах,Обременения,Кадастровый квартал,"Кадастровая стоимость, руб.","Удельный показатель, руб./м²","Рыночная стоимость, руб.","Медианная цена, руб./м²",Сделок в выборке,Период сделок,Свободен,ИЖС,СНТ,ДНП,ЛПХ,Под застройку,Общего пользования,Земли НП,Широта,Долгота
16:33:040412:936,1070.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Еловая, з/у 14",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,408509.63,381.7847,,,,,нет,нет,нет,нет,нет,да,нет,да,55.69249476899816,49.69486381349122
16:33:040412:1111,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Раушании Юкачевой, з/у 10",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,358911.5,358.91,,,,,нет,нет,нет,нет,нет,да,нет,да,55.68660890367944,49.701847493933805
16:33:040422:1529,500.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Жасминовая, з/у 15",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,295897.15,591.7943,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70285027691885,49.685968473875654
16:33:040412:960,1020.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Звездная, з/у 13",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,390865.84,383.2018,,,,,нет,нет,нет,нет,нет,да,нет,да,55.6909649064574,49.69710023850692
16:33:040102:88,,Земли населенных пунктов,Ранее учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул М.Конова, з/у 7",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040102,259643.44,351.34,,,,,нет,нет,нет,нет,да,да,нет,да,55.7174584151215,49.71725201092685
16:33:040105:56,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Пионерская, з/у 22.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040105,93221.76,324.81,,,,,да,нет,нет,нет,да,да,нет,да,55.71424767119485,49.721137419553955
16:33:040422:782,600.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 2-я Строителей, з/у 44.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,260876.46,434.79,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70640780815281,49.69288369097512
16:33:040101:10,,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Советская, з/у 59.",,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040101,636924.82,374.44,,,,,да,нет,нет,нет,да,да,нет,да,55.72059036705893,49.71456564562372
16:33:040422:427,1040.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Благодатная, з/у 4.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,591563.23,568.8108,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70605052854505,49.68464553809564
16:33:040422:722,742.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 1-я Строителей, з/у 18.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,425065.98,572.8652,,,,,нет,нет,нет,нет,нет,да,нет,да,55.7071144688572,49.689657777185985
16:33:040422:1632,1050.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Ильдара Мархабина, з/у 51",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,507597.93,483.4266,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70365511053861,49.69219888404947
16:33:040422:1471,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Клубничная, з/у 28.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,264911.6,529.8232,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70135117493088,49.688305814587906
16:33:040422:1558,500.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Клубничная, з/у 13.",Частная,малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,280044.05,560.0881,,,,,нет,нет,нет,нет,нет,да,нет,да,55.70162308536203,49.685792640260935
16:33:040412:1095,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Айдара Хафизова, з/у 10",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,359021.1,359.02,,,,,да,нет,нет,нет,нет,да,нет,да,55.687253141847314,49.70117854304815
16:33:040412:976,1012.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Звездная, з/у 4",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,382559.48,378.0232,,,,,нет,нет,нет,нет,нет,да,нет,да,55.690605704807474,49.697459404121695
16:33:040422:1207,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 47.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,353193.96,504.5628,,,,,нет,нет,нет,нет,нет,да,нет,да,55.702867461043276,49.69175774634057
16:33:040422:1209,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Вишневая, з/у 49.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,342174.14,488.8202,,,,,нет,нет,нет,нет,нет,да,нет,да,55.702880239166745,49.69207506488466
16:33:040422:465,560.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Кедровая, з/у 40.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,323834.45,578.2758,,,,,нет,нет,нет,нет,нет,да,нет,да,55.704830098751984,49.68245441344809
16:33:040105:33,2153.0,Земли населенных пунктов,Ранее учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Тукая, з/у 24а.",Частная,Для ведения личного подсобного хозяйства,ЛПХ,0,нет,16:33:040105,683159.6,317.3059,,,,,нет,нет,нет,нет,да,да,нет,да,55.713021115728004,49.71776088980306
16:33:040422:422,700.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул 2-я Строителей, з/у 11.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,402948.98,575.6414,,,,,нет,нет,нет,нет,нет,да,нет,да,55.706728345942224,49.68774557157792
16:33:040422:393,800.0,Земли населенных пунктов,Учтенный,"Местоположение установлено относительно ориентира, расположенного в границах участка. Почтовый адрес ориентира: Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул Благодатная, з/у 35.",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040422,453909.12,567.3864,,,,,нет,нет,нет,нет,нет,да,нет,да,55.7082077612845,49.68789258976172
16:33:040412:998,1165.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Айдара Хафизова, з/у 6",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,424202.13,364.122,,,,,нет,нет,нет,нет,нет,да,нет,да,55.68685470647005,49.70008082071758
16:33:040412:988,1000.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Мунира Сунгатуллина, з/у 23",Частная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,362665.3,362.6653,,,,,нет,нет,нет,нет,нет,да,нет,да,55.68960934060461,49.701496853680105
16:33:040412:1043,1573.0,Земли населенных пунктов,Учтенный,"Российская Федерация, Республика Татарстан (Татарстан), м.р-н Пестречинский, с.п. Конское, с Конь, ул. Радости, з/у 1",Муниципальная,Малоэтажная жилая застройка (индивидуальное жилищное строительство; размещение дачных домов и садовых домов),ЖИЛОЙ,0,нет,16:33:040412,606250.87,385.4106,,,,,да,нет,нет,нет,нет,да,нет,да,55.68401635379571,49.702898654271294
